model,target,logloss,brier,ece,prauc,rmse,mae,crps,seed
M_SB,runs,,,,,1.6909043448045264,1.2416320552738902,,3
M_SW,runs,,,,,1.690346840739274,1.247414014654359,,3
M_SBW,runs,,,,,1.6914850997552748,1.2378274702465029,,3
M_SBW+P,runs,,,,,1.6914680567264424,1.2387204201386475,,3
M_SBW+P+H,runs,,,,,1.6859495339529407,1.2313891533763677,,3
M_mult,runs,,,,,1.690590598755548,1.2381884750762782,0.8161179671905284,3
M0,runs,,,,,1.728349846892752,1.2911701249593046,,3
M_S,wicket,0.27376982547028955,0.0721025322181192,0.0028658536079348533,0.09019475777769445,,,,4
M_SB,wicket,0.2738566019089523,0.0721074204594462,0.002639219595393161,0.08975784967958221,,,,4
M_SW,wicket,0.27407282672202404,0.07214341997205329,0.0017465546316568902,0.08699356337872138,,,,4
M_SBW,wicket,0.27448967072472324,0.07220236613935614,0.002240963485352049,0.08499390433787438,,,,4
M_SBW+P,wicket,0.27412649621785695,0.07214986746306137,0.0024372999210946654,0.08627212719274456,,,,4
M_SBW+P+H,wicket,0.274099071690418,0.07214051756163128,0.0013550222927957442,0.08757853971672885,,,,4
M0,wicket,0.27484118906910027,0.07225243772440977,0.0,0.07839881134466635,,,,4
M_S,runs,,,,,1.6873683767855703,1.2544740532585976,,4
M_SB,runs,,,,,1.69056716482163,1.2404163771170476,,4
M_SW,runs,,,,,1.6903696780541118,1.2483761265374917,,4
M_SBW,runs,,,,,1.6919817777471666,1.2407293382100721,,4
M_SBW+P,runs,,,,,1.691391463538858,1.2392422575594733,,4
M_SBW+P+H,runs,,,,,1.6860027769848276,1.2316822109271746,,4
M_mult,runs,,,,,1.6907822613794226,1.2381337939189738,0.8161319452479762,4
M0,runs,,,,,1.728349846892752,1.2911701249593046,,4
